,model_name,params,train_time,gridsearch_time,logloss,precision,recall,f05,f1,f2,f5,bank_scorer,roc_auc,best_cv_score,discrimination_threshold,mean_test_bank_scorer,mean_test_f2_scorer,mean_test_roc_auc,mean_train_bank_scorer,mean_train_f2_scorer,mean_train_roc_auc,model,refit_time,std_test_bank_scorer,std_test_f2_scorer,std_test_roc_auc,std_train_bank_scorer,std_train_f2_scorer,std_train_roc_auc
0,Baseline (Dummy),{},0.0,0.031,5.785,0.074,0.08,0.076,0.077,0.079,0.08,0.579,0.492,0.502,0.5,0.586,0.0805,0.502,0.59,0.0963,0.501,"Pipeline(steps=[('clf', DummyClassifier(strategy='stratified'))])",0.000971,0.00543,0.00894,0.00944,0.00409,0.00663,0.00289
1,RidgeClassifier (cost-sensitive),{},0.014,0.134,10.604,0.165,0.617,0.193,0.26,0.399,0.558,0.667,0.659,0.744,0.5,0.684,0.427,0.744,0.708,0.459,0.778,"Pipeline(steps=[('clf', RidgeClassifier(class_weight='balanced'))])",0.015,0.0114,0.0181,0.0148,0.00333,0.00408,0.00338
2,RidgeClassifier (borderline SMOTE),{'clf__alpha': 0.001},0.026,1.771,9.93,0.168,0.577,0.196,0.26,0.388,0.528,0.667,0.651,0.841,0.5,0.802,0.799,0.841,0.804,0.801,0.845,"Pipeline(steps=[('clf', RidgeClassifier(alpha=0.001, class_weight='balanced'))])",0.032,0.0329,0.0313,0.0175,0.0067,0.00643,0.00489
3,Logistic Regression (cost-sensitive),{'clf__class_weight': None},0.014,0.46,3.039,0.0,0.0,0.0,0.0,0.0,0.0,0.605,0.5,0.745,0.5,0.605,0.0,0.745,0.605,0.000891,0.774,"Pipeline(steps=[('clf', RidgeClassifier())])",0.014,0.000723,0.0,0.0104,0.000318,0.00109,0.0033
4,Logistic Regression (undersampling),{'clf__class_weight': None},0.053,0.168,11.381,0.154,0.617,0.182,0.247,0.386,0.553,0.653,0.646,0.742,0.5,0.683,0.683,0.742,0.725,0.725,0.801,"Pipeline(steps=[('clf', LogisticRegression())])",0.056,0.0342,0.0338,0.0205,0.00801,0.00807,0.00533
5,Logistic Regression (oversampling),{'clf__class_weight': None},1.052,28.085,10.206,0.176,0.646,0.206,0.277,0.421,0.586,0.685,0.678,0.773,0.5,0.716,0.716,0.773,0.72,0.719,0.779,"Pipeline(steps=[('clf', LogisticRegression(penalty='l1', solver='liblinear'))])",1.05,0.0105,0.0103,0.00456,0.00172,0.00169,0.00121
6,Logistic Regression SMOTE (auto),{'clf__class_weight': None},1.772,48.093,10.103,0.176,0.634,0.205,0.275,0.417,0.576,0.683,0.674,0.801,0.5,0.742,0.741,0.801,0.744,0.744,0.806,"Pipeline(steps=[('clf', LogisticRegression(penalty='l1', solver='liblinear'))])",1.68,0.0153,0.0149,0.00849,0.00278,0.00274,0.00238
7,Logistic Regression SMOTE (borderline),{'clf__class_weight': None},1.89,48.087,9.326,0.175,0.56,0.203,0.266,0.389,0.516,0.673,0.653,0.842,0.5,0.795,0.793,0.842,0.799,0.797,0.847,"Pipeline(steps=[('clf', LogisticRegression(penalty='l1', solver='liblinear'))])",1.69,0.0342,0.0327,0.0179,0.00688,0.00666,0.00454
8,Logistic Regression SMOTE TomekLinks,{},0.238,1.833,10.12,0.175,0.634,0.205,0.275,0.416,0.576,0.683,0.674,0.801,0.5,0.742,0.741,0.801,0.745,0.744,0.806,"Pipeline(steps=[('clf', LogisticRegression())])",0.247,0.0155,0.0151,0.00851,0.00269,0.00265,0.00238
9,Logistic Regression SMOTE ADASYN,{},0.255,1.687,10.586,0.167,0.629,0.196,0.264,0.405,0.568,0.672,0.664,0.776,0.5,0.717,0.718,0.776,0.742,0.742,0.796,"Pipeline(steps=[('clf', LogisticRegression())])",0.259,0.0166,0.0161,0.00801,0.00213,0.00209,0.0016
10,Random Forest (cost-sensitive),"{'clf__criterion': 'entropy', 'clf__max_depth': 7}",1.623,130.2,6.787,0.183,0.36,0.203,0.243,0.302,0.347,0.654,0.603,0.744,0.5,0.679,0.337,0.744,0.866,0.695,0.944,"Pipeline(steps=[('clf',
                 RandomForestClassifier(class_weight='balanced',
                                        criterion='entropy', max_depth=7))])",1.66,0.0106,0.0227,0.0131,0.00263,0.00504,0.00186
11,Random Forest SMOTE,"{'clf__criterion': 'gini', 'clf__max_depth': 8}",2.838,326.97,6.217,0.203,0.36,0.222,0.259,0.312,0.35,0.665,0.612,0.732,0.5,0.671,0.31,0.732,0.84,0.646,0.932,"Pipeline(steps=[('sampling', SMOTE(random_state=42)),
                ('clf', RandomForestClassifier(max_depth=8))])",3.02,0.0132,0.0234,0.0116,0.0059,0.0115,0.00293
12,LGBM (weight-balanced),"{'clf__class_weight': 'balanced', 'clf__max_depth': 3, 'clf__min_child_samples': 50}",0.077,120.645,8.946,0.176,0.531,0.203,0.264,0.378,0.493,0.67,0.646,0.756,0.5,0.701,0.425,0.756,0.839,0.644,0.922,"Pipeline(steps=[('clf',
                 LGBMClassifier(class_weight='balanced', max_depth=3,
                                min_child_samples=50))])",0.081,0.00978,0.0164,0.0142,0.00265,0.00416,0.000931
13,LGBM (SMOTE),"{'clf__max_depth': 4, 'clf__min_child_samples': 50}",0.19,71.575,3.696,0.247,0.109,0.197,0.151,0.122,0.111,0.629,0.538,0.737,0.5,0.638,0.145,0.737,0.715,0.338,0.906,"Pipeline(steps=[('sampling', SMOTE(random_state=42)),
                ('clf', LGBMClassifier(max_depth=4, min_child_samples=50))])",0.238,0.00763,0.0246,0.0148,0.00252,0.00636,0.00255
14,LGBM BorderlineSMOTE,"{'clf__max_depth': 4, 'clf__min_child_samples': 50}",0.31,78.54,3.851,0.25,0.137,0.215,0.177,0.151,0.14,0.636,0.549,0.738,0.5,0.639,0.157,0.738,0.735,0.394,0.901,"Pipeline(steps=[('sampling', BorderlineSMOTE(random_state=42)),
                ('clf', LGBMClassifier(max_depth=4, min_child_samples=50))])",0.255,0.00398,0.0101,0.0139,0.0046,0.0116,0.00476
15,LGBM (SMOTE_Tomek),"{'clf__max_depth': 4, 'clf__min_child_samples': 50}",2.48,70015.0,3.696,0.247,0.109,0.197,0.151,0.122,0.111,0.629,0.538,0.737,0.5,0.638,0.145,0.737,0.715,0.338,0.906,"Pipeline(steps=[('sampling', SMOTETomek(random_state=42)),
                ('clf', LGBMClassifier(max_depth=4, min_child_samples=50))])",3.76,0.00763,0.0246,0.0148,0.00252,0.00636,0.00255
